Time,Q_in_av,BOD5inav,TCODinav,TSSinav,SALKinav,TNinav,SNHinav,SNOinav,TKNinav,Tempinav
0,20511.37612225,14.9286778854081,324.658302150994,635.34266454697,403.931671732661,7.02416980127548,55.5062759657821,23.1851378361807,0,55.5062759657821
1,19078.3573681561,14.7704629068039,367.681947941258,706.52752270309,455.598147884859,7.00262740448856,56.2254696487473,23.4374286557596,0,56.2254696487473
2,19878.2242497641,14.687171429588,352.468459485703,679.417749081344,436.644786668662,7.00287972558894,61.5279007073381,27.2273200195351,0,61.5279007073381
3,19845.1978669438,14.5838302788481,350.553446158328,681.850622393047,438.214320083999,7.00225057536081,61.1029277486425,26.4773848423314,0,61.1029277486425
4,20696.5998344765,14.5032030564739,351.080309454845,686.821348041204,441.402127596712,7.00263348093255,59.1484605894066,24.1971974774288,0,59.1484605894066
5,15689.4606103112,14.4382584001296,343.572714792581,659.01038814222,423.211589859971,7.00214753034151,60.7600625608028,27.8435528159189,0,60.7600625608028
6,17804.3335079019,14.3260591294054,285.904185085833,552.526746302822,355.198543171539,7.00275351782176,53.1338606428947,23.5232767235984,0,53.1338606428947
7,19016.4612173658,14.2593650924402,346.891797896026,680.600267515727,436.641700683519,7.0026386453895,63.1624629604332,25.8491289769701,0,63.1624629604332
8,23568.7217255416,14.2350803479511,302.349035440177,586.281521397928,377.568922178638,7.00311065061208,51.4161488617992,20.0871389887246,0,51.4161488617992
9,21130.5183679919,14.106599045917,328.29814252546,637.079537285193,409.809442501827,7.00233715813643,58.6545929098883,27.1475010393046,0,58.6545929098883
10,38466.851541679,13.9933301772079,199.780996626501,388.225335975236,250.061503717581,7.00315529011779,32.764316831276,12.9883677817825,0,32.764316831276
11,25259.1106422117,13.9249960485885,261.495905632474,511.369934822865,323.603383251794,7.00200711829729,48.8936613014878,20.507892992305,0,48.8936613014878
12,19599.31599619,13.8322079358359,258.653445487382,506.487583321567,325.038387010327,7.00262023872666,47.6146345763241,20.9538679043707,0,47.6146345763241
13,32044.3651586867,13.7839899057313,172.364062867809,336.826609965592,217.900011640659,7.00326374032269,33.8410108371396,13.4761748564426,0,33.8410108371396
14,38847.469414486,13.6920225149597,166.866133889412,327.419146493902,210.215962362215,7.00196992256241,31.1333302839724,12.6926834095801,0,31.1333302839724
15,51177.8022882818,13.6247671122365,144.547884811823,282.444353145844,178.688303520416,7.00287461017627,26.7291832323451,11.047231000224,0,26.7291832323451
16,47956.0945391953,13.447243320458,140.339417889933,276.534693302457,176.068304268407,7.00189115877556,27.9605064821026,11.7707202041507,0,27.9605064821026
17,40154.659787202,13.3468798827959,177.49729722432,339.56083439285,216.388327774647,7.00170934082397,30.1778832820531,12.0963414058189,0,30.1778832820531
18,28215.3548826348,13.3049978763185,241.142742316265,473.161016504821,302.040459739573,7.00173467634521,44.7362719828624,18.8458196920741,0,44.7362719828624
19,19744.997751659,13.2445469536722,266.520989838187,526.189674498016,338.869169418333,7.00218754429362,51.4908784770412,22.6292871501064,0,51.4908784770412
20,20263.4870171446,13.1347441666618,239.896599405633,472.576495627038,297.575175102155,7.00162488472778,47.5710810290231,19.1982254438478,0,47.5710810290231
21,20727.2905332946,13.0981349103255,327.100001898483,638.326576982865,408.35899851243,7.00226110549544,55.7646977448947,25.1162863039731,0,55.7646977448947
22,22391.462301251,12.9929322731123,308.635534285805,603.498659847288,387.685230643278,7.00193316426933,58.0630225742526,24.6856763795399,0,58.0630225742526
23,20298.6883271687,12.9376794148613,340.295996714167,660.265999312868,425.526131474347,7.00231072986599,57.1423062377695,26.0178814725639,0,57.1423062377695
24,21259.857763021,12.8506875549224,330.284155694792,642.471806525383,413.699500735142,7.0018438029026,56.9185107994435,24.7087266918722,0,56.9185107994435
25,21078.6202522858,12.756440222425,339.692869745693,662.811371032433,429.365304702866,7.00216246670909,63.5943627514134,29.0056793078009,0,63.5943627514134
26,17250.6758667436,12.6769018295482,308.155678277328,602.849480287563,386.029154937395,7.00191413271792,59.1327347777313,26.4356188099151,0,59.1327347777313
27,17130.2628659558,12.5839262203788,293.116770808519,570.833934429811,369.253733348582,7.00181589846416,56.2861179633608,23.8551106299377,0,56.2861179633608
28,19509.9952609606,12.5283053529075,349.971153937752,674.160568823712,434.450736241213,7.00244284841024,62.8666594290009,27.4821426954345,0,62.8666594290009
