Time,Q_in_av,BOD5inav,TCODinav,TSSinav,SALKinav,TNinav,SNHinav,SNOinav,TKNinav,Tempinav
29,20367.5585521244,12.4527524847427,349.702384133166,669.490549375494,430.116776019302,7.00258021673482,61.6185710407984,28.655522700992,0,61.6185710407984
30,20521.3726392469,12.3766907343308,347.905762948616,674.075158388828,435.157129990478,7.002032574635,60.2556422135845,28.4491015843716,0,60.2556422135845
31,20451.9941594735,12.3366442599783,340.062554904631,667.931650995056,423.12826006373,7.00231045309636,57.428273444442,25.5297904964385,0,57.428273444442
32,20275.7229360565,12.2481621361681,349.899775484106,680.968788554675,435.253351573867,7.00215247309499,59.3097506896984,23.0231236523751,0,59.3097506896984
33,17544.0852295142,12.1515511402357,307.812404121623,594.529230186136,379.46984456133,7.00227677395786,52.1500716102197,22.997068098192,0,52.1500716102197
34,14777.9723021623,12.1142000045361,331.789995497305,639.752922898094,410.12338101778,7.00221157239529,62.977604359326,28.4896580749586,0,62.977604359326
35,20715.1682078118,12.0188660218478,333.18715573704,649.078833834102,417.230565726117,7.00270182955545,56.7180495415721,23.2173208156246,0,56.7180495415721
36,20098.7575702943,11.9775056399728,338.957726189315,658.807739225656,419.939080695784,7.00237638427678,64.4480663824502,28.4177445137161,0,64.4480663824502
37,21397.1060196844,11.8981729208395,316.787709938664,613.876197923256,394.299668320385,7.00235026740275,58.3726296264442,26.4257422521146,0,58.3726296264442
38,22138.7006156609,11.8503592672737,319.413893010589,618.12980648327,396.266249642056,7.00252488620796,52.8915761528454,23.1388341049587,0,52.8915761528454
39,23087.9790792578,11.7778214491806,317.183797646271,618.219564703211,401.639016753748,7.00277911726282,51.6052455533076,21.1861944061251,0,51.6052455533076
40,33473.9046188711,11.623234058907,163.276656660682,323.093483127717,209.587304043101,7.00233829429119,32.0497759713393,15.2653826908829,0,32.0497759713393
41,25738.7212694342,11.6116028922,187.932838790934,373.161250040285,239.081470328106,7.00222689729781,40.2849362068426,17.6536783092296,0,40.2849362068426
42,21375.8285704714,11.5736502405541,311.045061485516,605.986362807162,389.553428936353,7.00229496415067,56.3246603466085,25.3430360554749,0,56.3246603466085
43,20347.403850064,11.523675152631,338.769240505885,663.51978982769,424.33256105194,7.00220466976617,56.7413989494465,23.4145531068695,0,56.7413989494465
44,20339.1904693976,11.4141491541729,339.884874869668,663.65225720574,426.023783150266,7.00230849231926,62.3023222656701,26.2462051959496,0,62.3023222656701
45,26516.1739511215,11.3562647562389,262.825241491783,505.650431509799,328.880129896767,7.0024739054184,50.9950893575873,21.4530209327875,0,50.9950893575873
46,20188.92903295,11.3091792277067,356.849320528269,688.824707847776,442.316283283142,7.00215743733624,62.3155281693806,27.5370726740415,0,62.3155281693806
47,17716.5268672181,11.2884938811133,300.221892585994,593.517400630615,378.938256553583,7.00233409540014,55.6278935119719,23.6958110464641,0,55.6278935119719
48,18914.025597462,11.2184231904069,254.929178089775,506.201761269364,322.437791205898,7.00239863320533,57.3281830190854,26.2078132332002,0,57.3281830190854
49,20860.86713953,11.1531916596362,324.295425833532,637.05566031941,409.121613373016,7.00290922309148,56.1237197043573,20.8424511827842,0,56.1237197043573
